yahoo_ticker;name
MMM;3M Co.
AXP;American Express Co.
AAPL;Apple Inc
BA;Boeing Co.
CAT;Caterpillar Inc.
CVX;Chevron Corp.
CSCO;Cisco Systems, Inc.
KO;Coca-Cola Co
DOW;Dow Inc
XOM;Exxon Mobil Corp.
GS;Goldman Sachs Group, Inc.
HD;Home Depot, Inc.
INTC;Intel Corp.
IBM;International Business Machines Corp.
JNJ;Johnson & Johnson
JPM;JPMorgan Chase & Co.
MCD;McDonald's Corp
MRK;Merck & Co Inc
MSFT;Microsoft Corporation
NKE;Nike, Inc. - Class B Shares
PFE;Pfizer Inc.
PG;Procter & Gamble Co.
RTX;RTX Corp
TRV;Travelers Companies Inc.
UNH;Unitedhealth Group Inc
VZ;Verizon Communications Inc
V;Visa Inc - Class A Shares
WBA;Walgreens Boots Alliance Inc
WMT;Walmart Inc
DIS;Walt Disney Co (The)
