yahoo_ticker;name;;;;;;;
ABN.AS;ABN AMRO BANK N.V.;;;;;;;
ADYEN.AS;ADYEN;;;;;;;
AGN.AS;AEGON;;;;;;;
AKZA.AS;AKZO NOBEL;;;;;;;
MT.AS;ARCELORMITTAL SA;;;;;;;
ASM.AS;ASM INTERNATIONAL;;;;;;;
ASML.AS;ASML HOLDING;;;;;;;
ASRNL.AS;ASR NEDERLAND;;;;;;;
BESI.AS;BE SEMICONDUCTOR;;;;;;;
CVC.AS;CVC CAPITAL;;;;;;;
DSFIR.AS;DSM FIRMENICH AG;;;;;;;
EXO.AS;EXOR NV;;;;;;;
HEIA.AS;HEINEKEN;;;;;;;
IMCD.AS;IMCD;;;;;;;
INGA.AS;ING GROEP N.V.;;;;;;;
INPST.AS;INPOST;;;;;;;
JDEP.AS;JDE PEET'S;;;;;;;
PHIA.AS;PHILIPS KON;;;;;;;
AD.AS;AHOLD DEL;;;;;;;
KPN.AS;KPN KON;;;;;;;
NN.AS;NN GROUP;;;;;;;
PRX.AS;PROSUS;;;;;;;
RAND.AS;RANDSTAD NV;;;;;;;
REN.AS;RELX;;;;;;;
SHELL.AS;SHELL PLC;;;;;;;
MICC.AS;MAGNUM;;;;;;;
UNA.AS;UNILEVER;;;;;;;
UMG.AS;UMG;;;;;;;
WDP.AS;WDP;;;;;;;
WKL.AS;WOLTERS KLUWER;;;;;;;
