ticker_yahoo;ticker_investing
ABN.AS;ABNd.AS
ADYEN.AS;ADYEN.AS
AGN.AS;AEGN.AS
AKZA.AS;AKZO.AS
MT.AS;MT.AS
ASM.AS;ASMI.AS
ASML.AS;ASML.AS
ASRNL.AS;ASRNL.AS
BESI.AS;BESI.AS
CVC.AS;CVC.AS
DSFIR.AS;DSFIR.AS
EXO.AS;EXOR.AS
HEIA.AS;HEIN.AS
IMCD.AS;IMCD.AS
INGA.AS;INGA.AS
INPST.AS;INPST.AS
JDEP.AS;JDEP.AS
AD.AS;AD.AS
KPN.AS;KPN.AS
PHIA.AS;PHG.AS
MICC.AS;MICCT.AS
NN.AS;NN.AS
PRX.AS;PRX.AS
RAND.AS;RAND.AS
REN.AS;REL.AS
SHELL.AS;SHEL.AS
UNA.AS;ULVR.AS
UMG.AS;UMG.AS
WDP.AS;WDPP.BR
WKL.AS;WLSNc.AS
^AEX;.AEX
ADS.DE;ADSGN
AIR.PA;AIRG.DE
ALV.DE;ALVG
BAS.DE;BASFN
BAYN.DE;BAYGN
BMW.DE;BMWG
BEI.DE;BEIG
BNR.DE;BNRGn
CBK.DE;CBKG
CON.DE;CONG
DTG.DE;DTGGe
DBK.DE;DBKGn
DB1.DE;DB1Gn
DHL.DE;DHLn
DTE.DE;DTEGn
EOAN.DE;EONGn
FME.DE;FMEG
FRE.DE;FREG
G1A.DE;G1AG
HNR1.DE;HNRGn
HEI.DE;HEIG
HEN3.DE;HNKG_p
IFX.DE;IFXGn
MBG.DE;MBGn.H
MRK.DE;MRCG
MTX.DE;MTXGn
MUV2.DE;MUVGn
PAH3.DE;PSHG_p
RHM.DE;RHMG
RWE.DE;RWEG
SAP.DE;SAPG
G24.DE;G24n.DE
SIE.DE;SIEGn
ENR.DE;ENR1n
SHL.DE;SHLG.DE
SY1.DE;SY1G
VOW3.DE;VOWG_p
VNA.DE;VNAn
ZAL.DE;ZALG
QIA.DE;QIA
BABA;BABA.K
AMZN;AMZN.O
IBM;IBM
TLT;TLT.O
IWB.MI;ITWB.MI
META;META.O
MSFT;MSFT.O
CRM;CRM
GLD;GLD
UNH;UNH
V;V
3BUL.MI;3BUL.MI
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
