yahoo_ticker;name
AMP.MI;AMPLIFON
AZM.MI;AZIMUT
BAMI.MI;BANCO BPM
BC.MI;BRUN.CUCINELLI
BMED.MI;BCA MEDIOLANUM
BMPS.MI;BCA MPS
BPE.MI;BPER BANCA
BPSO.MI;BP SONDRIO
BZU.MI;BUZZI UNICEM
CPR.MI;CAMPARI
DIA.MI;DIASORIN
ENEL.MI;ENEL
ENI.MI;ENI
FBK.MI;FINECOBANK
FCT.MI;Fincantieri SpA
FTSEMIB.MI;FTSEMIB40
G.MI;GENERALI
HER.MI;HERA
IG.MI;ITALGAS
INW.MI;INWIT
IP.MI;INTERPUMP
ISP.MI;INTESA SANPAOLO
IVG.MI;IVECO GROUP
LDO.MI;LEONARDO
LTMC.MI;LOTTOMATICA
MB.MI;MEDIOBANCA
MONC.MI;MONCLER
NEXI.MI;NEXI
PRY.MI;PRYSMIAN
PST.MI;POSTE ITALIANE
RACE.MI;FERRARI
REC.MI;RECORDATI
SPM.MI;SAIPEM
SRG.MI;SNAM RETE GAS
STLAM.MI;STELLANTIS
STMMI.MI;STMICRO
TEN.MI;TENARIS
TIT.MI;TELECOM ITALIA
TRN.MI;TERNA
UCG.MI;UNICREDITO
UNI.MI;UNIPOL
A2A.MI;A2A
